Time,Length
3.702130222,74
3.840729772,666
4.040405662,1514
4.040467675,1514
4.040490257,1514
4.040508264,1514
4.182395012,1514
4.182419387,1514
4.182429567,1514
4.18243598,1514
4.182442808,1514
4.184067299,1514
4.184082593,1514
4.18408923,1514
4.318897727,1514
4.318937232,1514
4.318951392,1514
4.318959579,1514
4.318966738,1514
4.318973054,1514
4.318979742,1514
4.318986471,1514
4.31899333,1514
4.319002931,1514
4.319009291,1514
4.319015026,1514
4.319024371,1514
4.319543703,1514
4.31958178,1514
4.456521602,1514
4.45657196,1514
4.456598925,1514
4.456612217,1514
4.456623696,1514
4.456633961,1514
4.456644268,1514
4.456655299,1514
4.456661697,1514
4.456668449,1514
4.456675103,1514
4.456686672,1514
4.456697534,1514
4.457178785,1514
4.457211625,1514
4.459664845,1514
4.459759281,1514
4.462043918,1514
4.462073252,1514
4.462095024,1514
4.462103195,1514
4.462111246,1514
4.462118412,1514
4.462130841,1514
4.462139461,1514
4.486908338,1514
4.486969803,1514
4.603785316,1514
4.605177942,1514
4.605233661,1514
4.605251254,1514
4.605263376,1514
4.609908624,1514
4.609966907,1514
4.609984373,1514
4.609993079,1514
4.610001414,1514
4.610008533,1514
4.610016487,1514
4.610023608,1514
4.610030645,1514
4.610041981,1514
4.610050863,1514
4.610061743,1514
4.610073482,1514
4.610085333,1514
4.610096605,1514
4.610108535,1514
4.61012232,1514
4.610135076,1514
4.610147191,1514
4.610160992,1514
4.61017266,1514
4.610183219,1514
4.610554177,1514
4.612909424,1514
4.612995118,1514
4.61301269,1514
4.613124144,1514
4.614447167,1514
4.614528527,1514
4.61703044,1514
4.617079935,1514
4.61709848,818
4.617111596,1514
4.617125388,1514
4.617137217,1514
4.617148293,1514
4.617158828,1514
4.617169692,1514
4.617181035,1514
4.617192419,1514
4.617203262,1514
4.617214904,1514
4.617224939,1514
4.617772007,1514
4.61779604,1514
4.620602355,1514
4.624315362,1514
4.624366737,1514
4.624387644,1514
4.731132366,1514
4.731200336,1514
4.740438054,1514
4.74052069,1514
4.745557629,1514
4.745621975,1514
4.747621529,1514
4.747676771,1514
4.747692208,1514
4.747703875,1514
4.747713679,1514
4.747725222,1514
4.747736199,1514
4.747747782,1514
4.750418532,1514
4.750472082,1514
4.750487798,1514
4.75049912,1514
4.750510315,1514
4.750520179,1514
4.750530882,1514
4.75054052,1514
4.750551943,1514
4.750562799,1514
4.750573642,1514
4.750584475,1514
4.750594554,1514
4.751060189,1514
4.751088391,1514
4.754357457,1514
4.754410183,1514
4.754422965,1514
4.754433949,1514
4.754444803,1514
4.754454983,1514
4.754470159,1514
4.754476794,1514
4.754483183,1514
4.754489606,1514
4.754495869,1514
4.754502404,1514
4.754508422,1514
4.755005173,1514
4.755034808,1514
4.758503113,1514
4.75858996,1514
4.758610428,1514
4.758622581,1514
4.75863596,1514
4.758647543,1514
4.758660758,1514
4.758668343,1514
4.758675657,1514
4.758682928,1514
4.758689954,1514
4.758702005,1514
4.758714883,1514
4.75872851,1514
4.759137799,1514
4.763298061,1514
4.76335919,1514
4.763379284,1514
4.763392147,1514
4.763403723,1514
4.763414865,1514
4.763426692,1514
4.763437007,1514
4.763447312,1514
4.763458183,1514
4.76346884,1514
4.763478947,1514
4.763489214,1514
4.763947755,1514
4.768951927,1514
4.769001606,1514
4.769017757,1514
4.769029154,1514
4.769040714,1514
4.769051014,1514
4.769060649,1514
4.769071252,1514
4.769085054,1514
4.769095197,1514
4.769106403,1514
4.769116294,1514
4.769137494,1514
4.7696061,1514
4.769640862,1514
4.771672508,1514
4.771726992,1514
4.796194018,1514
4.796249726,1514
4.79626368,1514
4.796279083,1514
4.796288987,1514
4.796296455,1514
4.796300436,1514
4.796303642,1514
4.796312187,1514
4.875473523,1514
4.875527987,1514
4.875547308,1514
4.875560296,1514
4.896133549,1514
4.896160112,1514
4.896166927,1514
4.896173166,1514
4.902660102,1514
4.902690055,1514
4.902698464,1514
